ranking,ISBN,title,author,publisher,genre,year
88,9784641115378 ,民法判例百選　１,潮見佳男,有斐閣,法律,2019
89,9784088820545 ,ＯＮＥ　ＰＩＥＣＥ　巻９４,尾田栄一郎,集英社,コミック,2019
90,9784621061220 ,パターン認識と機械学習　上,クリストファー・Ｍ．ビショップ,丸善出版,電子通信,2019
91,9784563024376 ,統計力学　１,田崎晴明,培風館,物理学,2019
92,9784641227583 ,行政法判例集　２,大橋洋一（行政法学）,有斐閣,法律,2019
93,9784535787520 ,線形代数講義,石井恵一,日本評論社,数学,2019
94,9784130624183 ,東大がつくった高齢社会の教科書,東京大学高齢社会総合研究機構,東京大学出版会,医学薬学,2019
95,9784794223074 ,東大教授が教える独学勉強法,柳川範之,草思社,日文評論,2019
96,9784865562774 ,民事裁判実務の基礎　上巻,大島眞一,民事法研究会,法律,2019
97,9784121025494 ,海外で研究者になる,増田直紀,中央公論新社,教育,2019
98,9784906033577 ,公式ＴＯＥＩＣ　Ｌｉｓｔｅｎｉｎｇ　＆　Ｒｅａｄｉｎｇ問題集　５,Ｅｄｕｃａｔｉｏｎａｌ　Ｔｅｓｔｉｎｇ,国際ビジネスコミュニケーション協会,英米語,2019
99,9784004317555 ,ユダヤ人とユダヤ教,市川裕,岩波書店,宗教,2019
100,9784121506375 ,役人道入門,久保田勇夫,中央公論新社,教育,2019
1,9784641009189 ,ポケット六法　平成３０年版,山下友信,有斐閣,法律,2018
2,9784641115354 ,行政判例百選　１,宇賀克也,有斐閣,法律,2018
3,9784641009196 ,ポケット六法　平成３１年版,宇賀克也,有斐閣,法律,2018
4,9784873117584 ,ゼロから作るＤｅｅｐ　Ｌｅａｒｎｉｎｇ,斎藤康毅,オライリー・ジャパン,電子通信,2018
5,9784641227385 ,行政法概説　１,宇賀克也,有斐閣,法律,2018
6,9784641139305 ,判例刑法各論,西田典之,有斐閣,法律,2018
7,9784641131903 ,行政法概説　３,宇賀克也,有斐閣,法律,2018
8,9784641137837 ,商法判例集,山下友信,有斐閣,法律,2018
9,9784492556733 ,東大生が書いた問題を解く力を鍛えるケース問題ノート,東大ケーススタディ研究会,東洋経済新報社,経営,2018
10,9784130323727 ,会社法,田中亘,東京大学出版会,法律,2018
11,9784883842285 ,債権各論　１,潮見佳男,新世社（渋谷区）,法律,2018
12,9784641139336 ,ケースブック刑事訴訟法,井上正仁,有斐閣,法律,2018
13,9784641115361 ,行政判例百選　２,宇賀克也,有斐閣,法律,2018
14,9784492556542 ,現役東大生が書いた地頭を鍛えるフェルミ推定ノート,東大ケーススタディ研究会,東洋経済新報社,経営,2018
15,9784883842681 ,債権各論　２,潮見佳男,新世社（渋谷区）,法律,2018
16,9784335357251 ,精読憲法判例　人権編,木下昌彦,弘文堂,法律,2018
17,9784641115385 ,民法判例百選　２,窪田充見,有斐閣,法律,2018
18,9784641134959 ,民法判例集　債権各論,瀬川信久,有斐閣,法律,2018
19,9784121024657 ,日本軍兵士,吉田裕,中央公論新社,日本歴史,2018
20,9784641227446 ,行政法概説　２,宇賀克也,有斐閣,法律,2018
21,9784908108655 ,プロシーディングス刑事裁判,司法研修所,法曹会,法律,2018
22,9784641399136 ,上級民事訴訟法,伊藤眞（民事訴訟法）,有斐閣,法律,2018
23,9784130013505 ,東京大学本郷キャンパス,東京大学キャンパス計画室,東京大学出版会,総記,2018
24,9784023315686 ,ＴＯＥＩＣ　Ｌ＆Ｒ　ＴＥＳＴ出る単特急金のフレーズ,ＴＥＸ加藤,朝日新聞出版,英米語,2018
25,9784641115279 ,民事訴訟法判例百選,高橋宏志,有斐閣,法律,2018
26,9784908108242 ,プラクティス刑事裁判,司法研修所,法曹会,法律,2018
27,9784641165151 ,経済史,小野塚知二,有斐閣,経済財政,2018
28,9784641115378 ,民法判例百選　１,潮見佳男,有斐閣,法律,2018
29,9784046020154 ,大学４年間のマーケティングが１０時間でざっと学べる,阿部誠（マーケティング）,ＫＡＤＯＫＡＷＡ,経営,2018
30,9784010944318 ,ＴＯＥＦＬテスト英単語３８００,神部孝,旺文社,英米語,2018
31,9784908108211 ,民事訴訟第一審手続の解説,司法研修所,法曹会,法律,2018
32,9784794223074 ,東大教授が教える独学勉強法,柳川範之,草思社,日文評論,2018
33,9784883842667 ,コア・テキスト国際経営,大木清弘,新世社（渋谷区）,経営,2018
34,9784641115392 ,民法判例百選　３,水野紀子,有斐閣,法律,2018
35,9784908108228 ,紛争類型別の要件事実,司法研修所,法曹会,法律,2018
36,9784873118369 ,ゼロから作るＤｅｅｐ　Ｌｅａｒｎｉｎｇ　２,斎藤康毅,オライリー・ジャパン,電子通信,2018
37,9784641165076 ,労働経済学,川口大司,有斐閣,経済財政,2018
38,9784130013024 ,東大　２０１９,東京大学新聞社,東京大学新聞社,総記,2018
39,9784903474502 ,ディジタル画像処理,,画像情報教育振興協会,情報科学,2018
40,9784492762394 ,ＡＩ　ｖｓ．教科書が読めない子どもたち,新井紀子（数学）,東洋経済新報社,経営,2018
41,9784004316954 ,近代日本一五〇年,山本義隆,岩波書店,政治,2018
42,9784000611794 ,体系憲法訴訟,高橋和之,岩波書店,法律,2018
43,9784883194766 ,日本語初級１大地メインテキスト,山崎佳子,スリーエーネットワーク,日本語,2018
44,9784788945869 ,公務員試験速攻の時事　平成３０年度試験完全対応,資格試験研究会,実務教育出版,社会科学,2018
45,9784873117782 ,退屈なことはＰｙｔｈｏｎにやらせよう,アル・スウェイガート,オライリー・ジャパン,電子通信,2018
46,9784641164901 ,非伝統的金融政策,宮尾龍蔵,有斐閣,経済財政,2018
47,9784502085901 ,エッセンシャル管理会計,谷武幸,中央経済社,経営,2018
48,9784883842544 ,コア・テキストマクロ経済学,宮尾龍蔵,新世社（渋谷区）,経済財政,2018
49,9784906033539 ,公式ＴＯＥＩＣ　Ｌｉｓｔｅｎｉｎｇ　＆　Ｒｅａｄｉｎｇ問題集　３,Ｅｄｕｃａｔｉｏｎａｌ　Ｔｅｓｔｉｎｇ,国際ビジネスコミュニケーション協会,英米語,2018
50,9784641144880 ,労働法,荒木尚志,有斐閣,法律,2018
51,9784641243088 ,独禁法講義,白石忠志,有斐閣,法律,2018
52,9784883194773 ,日本語初級１大地文型説明と翻訳英語版,山崎佳子,スリーエーネットワーク,日本語,2018
53,9784908108464 ,新問題研究要件事実,司法研修所,法曹会,法律,2018
54,9784641115316 ,労働判例百選,村中孝史,有斐閣,法律,2018
55,9784524240128 ,今日の治療薬　２０１８年版,浦部晶夫,南江堂,医学薬学,2018
56,9784004316961 ,マルクス資本論の哲学,熊野純彦,岩波書店,哲学,2018
57,9784872177572 ,にほんごチャレンジかんじＮ４ー５,唐澤和子,アスク出版,日本語,2018
58,9784594079505 ,東大教授が挑むＡＩに「善悪の判断」を教える方法,鄭雄一,扶桑社,日文評論,2018
59,9784873117386 ,入門Ｐｙｔｈｏｎ　３,ビル・ルバノビック,オライリー・ジャパン,電子通信,2018
60,9784641137929 ,民法の基礎　１,佐久間毅,有斐閣,法律,2018
61,9784480020475 ,思考の整理学,外山滋比古,筑摩書房,哲学,2018
62,9784641179387 ,民事訴訟法,三木浩一,有斐閣,法律,2018
63,9784908108181 ,民事判決起案の手引,司法研修所,法曹会,法律,2018
64,9784295003373 ,Ｐｙｔｈｏｎ機械学習プログラミング,セバスチャン・ラシュカ,インプレス,電子通信,2018
65,9784339018431 ,コンピュータアーキテクチャ,坂井修一,コロナ社,電子通信,2018
66,9784535558922 ,ゲーム理論はアート,松島斉,日本評論社,経済財政,2018
67,9784641115309 ,会社法判例百選,岩原紳作,有斐閣,法律,2018
68,9784862760852 ,イシューからはじめよ,安宅和人,英治出版,社会科学,2018
69,9784797227826 ,債権総論,潮見佳男,信山社出版,法律,2018
70,9784641003385 ,有斐閣判例六法　平成３０年版,中田裕康,有斐閣,法律,2018
71,9784061538320 ,ベイズ推論による機械学習入門,須山敦志,講談社,数学,2018
72,9784046022110 ,大学４年間のデータサイエンスが１０時間でざっと学べる,久野遼平,ＫＡＤＯＫＡＷＡ,社会科学,2018
73,9784130323765 ,刑事訴訟法,三井誠,東京大学出版会,法律,2018
74,9784334039868 ,データ分析の力因果関係に迫る思考法,伊藤公一朗,光文社,経済財政,2018
75,9784641115163 ,倒産判例百選,伊藤真,有斐閣,法律,2018
76,9784492557525 ,東大生が書いた議論する力を鍛えるディスカッションノート,吉田雅裕,東洋経済新報社,経営,2018
77,9784641149212 ,アメリカ政治史,久保文明,有斐閣,政治,2018
78,9784815806675 ,法曹の倫理,森際康友,名古屋大学出版会,法律,2018
79,9784492971338 ,就職四季報　２０１９年版,東洋経済新報社,東洋経済新報社,社会,2018
80,9784492973264 ,会社四季報業界地図　２０１８年版,東洋経済新報社,東洋経済新報社,経営,2018
81,9784627661158 ,新編ＪＩＳ機械製図,吉沢武男,森北出版,機械,2018
82,9784478039472 ,「原因と結果」の経済学,中室牧子,ダイヤモンド社,経済財政,2018
83,9784757426221 ,完全攻略！ＴＯＥＦＬ　ＩＴＰテスト模試４回分,ポール・ワーデン,アルク（千代田区）,英米語,2018
84,9784842503332 ,生産の技術,中尾政之,養賢堂,機械,2018
85,9784803724882 ,判例講座刑事訴訟法　公訴提起・公判・裁判篇,川出敏裕,立花書房,法律,2018
86,9784000247986 ,ベイズモデリングの世界,伊庭幸人,岩波書店,自然科学,2018
87,9784335304798 ,刑法各論,西田典之,弘文堂,法律,2018
88,9784130624183 ,東大がつくった高齢社会の教科書,東京大学高齢社会総合研究機構,東京大学出版会,医学薬学,2018
89,9784815807153 ,ものづくり日本経営史,粕谷誠,名古屋大学出版会,経営,2018
90,9784873118345 ,ｓｃｉｋｉｔーｌｅａｒｎとＴｅｎｓｏｒＦｌｏｗによる実践機械学習,オーレリアン・ジュロン,オライリー・ジャパン,電子通信,2018
91,9784641121706 ,現代アメリカ経済,河村哲二,有斐閣,経済財政,2018
92,9784816364419 ,史上最強ＳＰＩ＆テストセンター超実戦問題集　２０２０最新版,オフィス海,ナツメ社,社会科学,2018
93,9784061538283 ,これならわかる深層学習入門,瀧雅人,講談社,数学,2018
94,9784335357091 ,Ｂｅｆｏｒｅ／Ａｆｔｅｒ民法改正,潮見佳男,弘文堂,法律,2018
95,9784641144682 ,知的財産法判例集,大渕哲也,有斐閣,法律,2018
96,9784040800202 ,人工知能は人間を超えるか,松尾豊,ＫＡＤＯＫＡＷＡ,工学工業,2018
97,9784641137769 ,担保物権法,道垣内弘人,有斐閣,法律,2018
98,9784003315811 ,君たちはどう生きるか,吉野源三郎,岩波書店,教育,2018
99,9784876152537 ,全問正解するＴＯＥＦＬ　ＩＴＰ　ＴＥＳＴ文法問題対策,林功,語研,英米語,2018
100,9784641003392 ,有斐閣判例六法　平成３１年版,長谷部恭男,有斐閣,法律,2018
1,9784641009189 ,ポケット六法　平成３０年版,山下友信,有斐閣,法律,2017
2,9784873117584 ,ゼロから作るＤｅｅｐ　Ｌｅａｒｎｉｎｇ,斎藤康毅,オライリー・ジャパン,電子通信,2017
3,9784130323727 ,会社法,田中亘,東京大学出版会,法律,2017
4,9784641115309 ,会社法判例百選,岩原紳作,有斐閣,法律,2017
5,9784641009172 ,ポケット六法　平成２９年版,山下友信,有斐閣,法律,2017
6,9784860880224 ,犯罪事実記載の実務　刑法犯,末永秀夫,実務法規,法律,2017
7,9784641115248 ,民法判例百選　２,中田裕康,有斐閣,法律,2017
8,9784641131521 ,行政法判例集　１,大橋洋一（行政法学）,有斐閣,法律,2017
9,9784641115279 ,民事訴訟法判例百選,高橋宏志,有斐閣,法律,2017
10,9784641042926 ,判例刑法各論,西田典之,有斐閣,法律,2017
11,9784883842414 ,債権各論　２,潮見佳男,新世社（渋谷区）,法律,2017
12,9784641164062 ,金融論,福田慎一,有斐閣,経済財政,2017
13,9784641115316 ,労働判例百選,村中孝史,有斐閣,法律,2017
14,9784641115323 ,刑事訴訟法判例百選,井上正仁,有斐閣,法律,2017
15,9784641131071 ,行政法判例集　２,大橋洋一（行政法学）,有斐閣,法律,2017
16,9784873117782 ,退屈なことはＰｙｔｈｏｎにやらせよう,アル・スウェイガート,オライリー・ジャパン,電子通信,2017
17,9784492556542 ,現役東大生が書いた地頭を鍛えるフェルミ推定ノート,東大ケーススタディ研究会,東洋経済新報社,経営,2017
18,9784641131866 ,行政法　１,塩野宏,有斐閣,法律,2017
19,9784130421324 ,財政学,持田信樹,東京大学出版会,経済財政,2017
20,9784492556733 ,東大生が書いた問題を解く力を鍛えるケース問題ノート,東大ケーススタディ研究会,東洋経済新報社,経営,2017
21,9784334039868 ,データ分析の力因果関係に迫る思考法,伊藤公一朗,光文社,経済財政,2017
22,9784641144880 ,労働法,荒木尚志,有斐閣,法律,2017
23,9784908108655 ,プロシーディングス刑事裁判,司法研修所,法曹会,法律,2017
24,9784004316503 ,日本の近代とは何であったか,三谷太一郎,岩波書店,日本歴史,2017
25,9784883841455 ,債権各論　１,潮見佳男,新世社（渋谷区）,法律,2017
26,9784641136915 ,民法判例集　担保物権・債権総論,瀬川信久,有斐閣,法律,2017
27,9784641399136 ,上級民事訴訟法,伊藤眞（民事訴訟法）,有斐閣,法律,2017
28,9784103534327 ,騎士団長殺し　第１部（顕れるイデア編）,村上春樹,新潮社,日文小説,2017
29,9784130033619 ,変革を駆動する大学,五神真,東京大学出版会,総記,2017
30,9784023315686 ,ＴＯＥＩＣ　Ｌ＆Ｒ　ＴＥＳＴ出る単特急金のフレーズ,ＴＥＸ加藤,朝日新聞出版,英米語,2017
31,9784524255320 ,今日の治療薬　２０１７年版,浦部晶夫,南江堂,医学薬学,2017
32,9784908108211 ,民事訴訟第一審手続の解説,司法研修所,法曹会,法律,2017
33,9784103534334 ,騎士団長殺し　第２部（遷ろうメタファー編）,村上春樹,新潮社,日文小説,2017
34,9784010944318 ,ＴＯＥＦＬテスト英単語３８００,神部孝,旺文社,英米語,2017
35,9784594077181 ,東大ナゾトレ　第１巻,東京大学謎解き制作集団ＡｎｏｔｈｅｒＶｉ,扶桑社,諸芸娯楽,2017
36,9784908108242 ,プラクティス刑事裁判,司法研修所,法曹会,法律,2017
37,9784040821641 ,教えてみた「米国トップ校」,佐藤仁,ＫＡＤＯＫＡＷＡ,社会科学,2017
38,9784788945814 ,公務員試験速攻の時事　平成２９年度試験完全対応,資格試験研究会,実務教育出版,社会科学,2017
39,9784906033508 ,公式ＴＯＥＩＣ　Ｌｉｓｔｅｎｉｎｇ　＆　Ｒｅａｄｉｎｇ問題集　２,,国際ビジネスコミュニケーション協会,英米語,2017
40,9784492973257 ,会社四季報業界地図　２０１７年版,東洋経済新報社,東洋経済新報社,経営,2017
41,9784908108228 ,紛争類型別の要件事実,司法研修所,法曹会,法律,2017
42,9784130323338 ,民法　３,内田貴,東京大学出版会,法律,2017
