ranking,ISBN,title,author,publisher,genre,year
24,9784641115460 ,憲法判例百選　２,長谷部恭男,有斐閣,法律,2023
25,9784130625012 ,化学の基礎７７講,東京大学,東京大学出版会,化学,2023
26,9784641115620 ,民法判例百選　１,潮見佳男,有斐閣,法律,2023
27,9784780609417 ,考える力学,兵頭俊夫,学術図書出版社,物理学,2023
28,9784000613224 ,憲法,芦部信喜,岩波書店,法律,2023
29,9784623071449 ,比較政治学,粕谷祐子,ミネルヴァ書房,政治,2023
30,9784641009240 ,ポケット六法　令和６年版,佐伯仁志,有斐閣,法律,2023
31,9784130620017 ,線型代数入門,斎藤正彦,東京大学出版会,数学,2023
32,9784641009233 ,ポケット六法　令和５年版,佐伯仁志,有斐閣,法律,2023
33,9784130629218 ,統計学,久保川達也,東京大学出版会,数学,2023
34,9784785320881 ,振動・波動,小形正男,裳華房,物理学,2023
35,9784641150317 ,比較政治学の考え方,久保慶一,有斐閣,政治,2023
36,9784563002213 ,入門微分積分,三宅敏恒,培風館,数学,2023
37,9784785314088 ,微分積分学,難波誠,裳華房,数学,2023
38,9784641124660 ,進化と感情から解き明かす社会心理学,北村英哉,有斐閣,心理,2023
39,9784255352947 ,初級フランス語文法,天羽均,朝日出版社,仏語,2023
40,9784535786547 ,線形代数学,川久保勝夫,日本評論社,数学,2023
41,9784563023218 ,相対性理論入門講義,風間洋一,培風館,物理学,2023
42,9784560017630 ,イタリア語のスタート文法と練習,東京大学イタリア語教材編集委員会,白水社,各国語,2023
43,9784255353050 ,グラメール・アクティーヴ,大木充,朝日出版社,仏語,2023
44,9784410154638 ,チャート式シリーズ大学教養　線形代数,加藤文元,数研出版,数学,2023
45,9784101035413 ,暇と退屈の倫理学,國分功一郎,新潮社,倫理,2023
46,9784163913629 ,東京大学「ボーカロイド音楽論」講義,鮎川ぱて,文藝春秋,日文評論,2023
47,9784410152306 ,チャート式シリーズ大学教養　微分積分,加藤文元,数研出版,数学,2023
48,9784641174566 ,大学生のストレスマネジメント,齋藤憲司,有斐閣,心理,2023
49,9784563024321 ,熱力学,田崎晴明,培風館,物理学,2023
50,9784130623186 ,科学の技法,東京大学教養教育高度化機構初年次教育部門,東京大学出版会,自然科学,2023
51,9784492315040 ,マンキューマクロ経済学　１,Ｎ・グレゴリ・マンキュー,東洋経済新報社,経済財政,2023
52,9784781914275 ,工学基礎図学と製図,磯田浩,サイエンス社,工学工業,2023
53,9784832274990 ,妄想アカデミズム　１,檜山ユキ,芳文社,コミック,2023
